"","Name","X","Y","FileName2","TurtleAvailable","Species","Direction","CatchSuccess"
"229","TopRight",93.4078467606752,35.7067803579968,"2016_0517_115802_043A_Moment4","NoTurtle","LMB","Upstream",NA
"230","Fish",6.49243106553874,36.3923007166125,"2016_0517_115802_043A_Moment4","NoTurtle","LMB","Upstream",NA
"231","BottomLeft",0,0,"2016_0517_115802_043A_Moment5","NoTurtle","LMB","Downstream",NA
"232","BottomRight",71.6777727189404,0,"2016_0517_115802_043A_Moment5","NoTurtle","LMB","Downstream",NA
"233","TopLeft",-16.3131645485305,31.2250299640204,"2016_0517_115802_043A_Moment5","NoTurtle","LMB","Downstream",NA
"234","TopRight",94.9999868618203,31.2250299640204,"2016_0517_115802_043A_Moment5","NoTurtle","LMB","Downstream",NA
"235","Fish",6.59138028141795,28.917999503152,"2016_0517_115802_043A_Moment5","NoTurtle","LMB","Downstream",NA
"236","BottomLeft",0,0,"2016_0517_115802_043A_Moment6","NoTurtle","LMB","Upstream",NA
"237","BottomRight",63.3664475774986,0,"2016_0517_115802_043A_Moment6","NoTurtle","LMB","Upstream",NA
"238","TopLeft",-16.5767554043188,34.8856159428045,"2016_0517_115802_043A_Moment6","NoTurtle","LMB","Upstream",NA
